raw_affiliation_string,to remove
"Institute for Experimental Infection Research, Brunswick, Germany",Medizinische Hochschule Hannover (MHH)
"Institute for Experimental Virology, TWINCORE, Centre for Experimental and Clinical Infection Research, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Institute for General Practice, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Institute for Gerontology, University of Vechta, Vechta, Germany",Universität Vechta
"Institute for Gravitational Physics, Leibniz University, Hannover, 30167, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute for Gravitational Physics, Leibniz Universität Hannover, Callinstr. 38, 30167 Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute for Hand and Plastic Surgery Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
Institute for Health Research and Education (IGB) Osnabrück University Osnabrück Germany,Hochschule Osnabrück
"Institute for Health Research and Education, Department of Dermatology, Environmental Medicine and Health Theory, Osnabrück University, Osnabrück, Germany",Hochschule Osnabrück
"Institute for Healthcare Research and Technical Orthopedics, Medical University Hannover Germany",Medizinische Hochschule Hannover (MHH)
"Institute for Horticultural Production Systems, Vegetable Systems Modelling Section, Leibniz University Hannover, Herrenhäuser Straße 2, 30419 Hannover, GERMANY",Gottfried Wilhelm Leibniz Universität Hannover
"Institute for Industrial Informatics, Automation, and Robotics at the University of Applied Sciences Emden/Leer, Emden, Germany",Hochschule Emden/Leer
"Institute for Information Science and Language Technology, University of Hildesheim, Hildesheim, Germany",Stiftung Universität Hildesheim
Institute for Information Technology,Carl von Ossietzky Universität Oldenburg
Institute for Information Technology Technische Universität Ilmenau 98693 Ilmenau Germany,Carl von Ossietzky Universität Oldenburg
"Institute for Information Technology and Communications (IIKT), Otto von Guericke University Magdeburg, 39106 Magdeburg, Germany",Carl von Ossietzky Universität Oldenburg
"Institute for Information Technology and Communications, Otto von Guericke University Magdeburg, 39106 Magdeburg, Germany",Carl von Ossietzky Universität Oldenburg
"Institute for Information Technology and Communications, Otto von Guericke University Magdeburg, Germany",Carl von Ossietzky Universität Oldenburg
"Institute for Information Technology and Communications, Otto von Guericke University, Magdeburg, Germany",Carl von Ossietzky Universität Oldenburg
"Institute for Information Technology and Communications, Otto-von-Guericke University Magdeburg, Magdeburg, Germany",Carl von Ossietzky Universität Oldenburg
"Institute for Information Technology and Communications, Otto-von-Guericke University Magdeburg, Universitätsplatz 2, 39106, Magdeburg, Germany",Carl von Ossietzky Universität Oldenburg
"Institute for Information Technology and Communications, Otto-von-Guericke-University Magdeburg, Magdeburg, Germany",Carl von Ossietzky Universität Oldenburg
"Institute for Information Technology and Communications, Otto-von-Guericke-University, Magdeburg, Germany",Carl von Ossietzky Universität Oldenburg
"Institute for Information Technology and Communications, Otto-von-Guericke-University, Universitaetsplatz 2, 39016 Magdeburg, Germany",Carl von Ossietzky Universität Oldenburg
"Institute for Information Technology, Ilmenau University of Technology, 98693 Ilmenau, Germany",Carl von Ossietzky Universität Oldenburg
"Institute for Information Technology, Kyushu University",Carl von Ossietzky Universität Oldenburg
"Institute for Information Technology, TU Ilmenau, Ilmenau, Germany",Carl von Ossietzky Universität Oldenburg
"Institute for Information Technology, Technische Universit&#x00E4;t Ilmenau, Ilmenau, Germany",Carl von Ossietzky Universität Oldenburg
"Institute for Inorganic Chemistry, Leibniz-University Hannover, Callinstrasse 9, 30167, Hannover, Germany. sebastian.polarz@aca.uni-hannover.de",Gottfried Wilhelm Leibniz Universität Hannover
"Institute for Interdisciplinary Dermatological Prevention and Rehabilitation (iDerm) at the University of Osnabrueck, Osnabrueck, and BG Clinic Hamburg, Hamburg",Universität Osnabrück
"Institute for Interdisciplinary Dermatological Prevention and Rehabilitation (iDerm) at the University of Osnabrück, Osnabrück, Germany",Universität Osnabrück
Institute for Laboratory Animal Science and Central Animal Facility Hannover Medical School  Hannover Germany,Stiftung Tierärztliche Hochschule Hannover
"Institute for Laboratory Animal Science, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Institute for Lasers and Optics, University of Applied Sciences, Emden 26723, Germany",Hochschule Emden/Leer
"Institute for Management and Technology, Osnabrück University of Applied Sciences, Kaiserstraße 10C, 49809, Lingen, Germany",Universität Osnabrück
"Institute for Mathematical Physics, TU Braunschweig, 38106 Braunschweig, Germany",Technische Universität Braunschweig
"Institute for Mathematical Stochastics, Göttingen University, Lotzestr. 16-18, 37083, Göttingen, Germany",Georg-August-Universität Göttingen
"Institute for Mathematical Stochastics, University of Göttingen, Goldschmidtstraße 7, 37077 Göttingen, Germany",Georg-August-Universität Göttingen
"Institute for Mathematics, Carl von Ossietzky University of Oldenburg 2 , PF 2503, 26111 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Institute for Medical Microbiology and Virology, University Medical Center Göttingen, Göttingen, Germany",Universitätsmedizin Göttingen
"Institute for Migration Research and Intercultural Studies (IMIS), Osnabrück, Germany",Universität Osnabrück
"Institute for Neuroanatomy, University Medical Center Göttingen, Georg-August- University Göttingen",Universitätsmedizin Göttingen
"Institute for Nonlinear Dynamics, University of Göttingen, D-37077 Göttingen, Germany",Georg-August-Universität Göttingen
Institute for Numerical and Applied Mathematics University of Göttingen Göttingen Germany,Georg-August-Universität Göttingen
"Institute for Numerical and Applied Mathematics, Göttingen University, Lotzestr. 16-18, 37083, Göttingen, Germany",Georg-August-Universität Göttingen
"Institute for Numerical and Applied Mathematics, University of Göttingen, 37083, Göttingen, Germany. imbashrii@gmail.com",Georg-August-Universität Göttingen
"Institute for Numerical and Applied Mathematics, University of Göttingen, Germany",Georg-August-Universität Göttingen
"Institute for Numerical and Applied Mathematics, University of Göttingen, Lotzestr. 16–18, 37083 Göttingen, Germany",Georg-August-Universität Göttingen
"Institute for Physical Chemistry, University of Goettingen, Tammannstr. 6, 37077 Goettingen, Germany",Georg-August-Universität Göttingen
"Institute for Prenatal Health GmbH, Wolfenbüttel, Germany",Ostfalia Hochschule für angewandte Wissenschaften
"Institute for Production Technology and Systems, Leuphana University of Lueneburg, Lueneburg, 21335, Germany",Leuphana Universität Lüneburg
"Institute for Quantum Optics, Leibniz University Hannover, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute for Quantum Optics, Leibniz University Hannover, Welfengarten 1, 30167, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute for Radiation Therapy and Special Oncology, Hannover Medical School Hannover: Prof. Dr",Medizinische Hochschule Hannover (MHH)
"Institute for Risk and Reliability, Leibniz University Hannover, Callinstr. 34, Hannover 30167, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute for Risk and Reliability, Leibniz Universität Hannover, Callinstr. 34, 30167 Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute for Risk and Reliability, Leibniz Universität Hannover, Callinstr. 34, Hannover, 30167, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute for Risk and Reliability, Leibniz Universität Hannover, Callinstr. 34, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute for Risk and Reliability, Leibniz Universität Hannover, Germany & Institute for Risk and Uncertainty, University of Liverpool, United Kingdom",Gottfried Wilhelm Leibniz Universität Hannover
"Institute for Satellite Geodesy and Inertial Sensing, German Aerospace Center (DLR) c/o Leibniz Universität Hannover, Welfengarten 1, D-30167, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute for Ship Structural Design and Analysis (M-10), Numerical Structural Analysis with Application in Ship Technology, Hamburg University of Technology, 21073 Hamburg, Germany",Medizinische Hochschule Hannover (MHH)
"Institute for Social Medicine, Epidemiology and Health Systems Research, Medical University Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Institute for Social Medicine, Epidemiology and Health Systems Research, Medical University Hannover, Karl-Wiechert-Allee 3, 30625, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Institute for Solid State Physics, Department Solar Energy, Leibniz University Hannover, Appelstr. 2, 30167 Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute for Steel Construction, Faculty of civil and Geodetic Science, Leibniz University Hannover, 30167, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
Institute for Theoretical Physics University of Göttingen  Göttingen 37077 Germany,Georg-August-Universität Göttingen
"Institute for Theoretical Physics and Institute for Gravitational Physics (Albert-Einstein-Institute), Leibniz University Hannover, Appelstrasse 2, 30167 Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute for Theoretical Physics and Institute for Gravitational Physics (Albert-Einstein-Institute), Leibniz University Hannover, Appelstrasse 2, 30167, Hannover, Germany. klemens.hammerer@itp.uni-hannover.de",Gottfried Wilhelm Leibniz Universität Hannover
"Institute for Theoretical Physics and Institute for Gravitational Physics (Albert-Einstein-Institute), Leibniz University Hannover, Appelstrasse 2, 30167, Hannover, Germany. marius.schulte@itp.uni-hannover.de",Gottfried Wilhelm Leibniz Universität Hannover
"Institute for Theoretical Physics, Georg August University, Göttingen, 37077, Germany",Georg-August-Universität Göttingen
"Institute for Theoretical Physics, Georg-August University Göttingen, Friedrich-Hund-Platz 1, 37077, Göttingen, Germany",Georg-August-Universität Göttingen
"Institute for Theoretical Physics, Georg-August University Göttingen, Friedrich-Hund-Platz 1, D-37077, Göttingen, Germany",Georg-August-Universität Göttingen
"Institute for Theoretical Physics, Georg-August-University Göttingen, Friedrich-Hund-Platz 1, 37077, Gottingen, Germany",Georg-August-Universität Göttingen
"Institute for Theoretical Physics, Georg-August-Universität Göttingen, D-37073 Göttingen, Germany",Georg-August-Universität Göttingen
"Institute for Theoretical Physics, Georg-August-Universität Göttingen, D37077 Göttingen, Germany",Georg-August-Universität Göttingen
"Institute for Theoretical Physics, Institute for Gravitational Physics (Albert Einstein Institute), Leibniz University Hannover, Appelstraße 2, 30167 Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute for Theoretical Physics, Institute for Gravitational Physics (Albert Einstein Institute), Leibniz University Hannover, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute for Theoretical Physics, Leibniz University Hannover, Appelstraße 2, 30167 Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute for Theoretical Physics, Leibniz University of Hannover, Appelstrasse 2, 30167, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute for Theoretical Physics, Leibniz University of Hannover, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute for Theoretical Physics, University of Go¨ttingen, Friedrich-Hund-Platz 1, D-37077 Go¨ttingen, Germany",Georg-August-Universität Göttingen
"Institute for Theoretical Physics, University of Göttingen, Friedrich-Hund-Platz 1, D-37077 Göttingen, Germany",Georg-August-Universität Göttingen
"Institute for Theoretical Physics, University of Göttingen, Germany",Georg-August-Universität Göttingen
"Institute for Theoretical Physics, University of Göttingen, Göttingen, Germany",Georg-August-Universität Göttingen
"Institute for Virology, University for Veterinary Medicine Hannover, Hannover, Germany. guelsah.gabriel@leibniz-hpi.de",Gottfried Wilhelm Leibniz Universität Hannover
"Institute for information Processing, Leibniz University of Hanover , 30167 Hannover ,",Gottfried Wilhelm Leibniz Universität Hannover
"Institute for the Dynamics of Complex Systems, University of Göttingen 4 , 37077 Göttingen, Germany",Georg-August-Universität Göttingen
"Institute for the Dynamics of Complex Systems, University of Göttingen, Friedrich-Hund-Platz 1, 37077 Göttingen, Germany",Georg-August-Universität Göttingen
"Institute for the Dynamics of Complex Systems, University of Göttingen, Friedrich-Hund-Platz 1, 37077, Göttingen, Germany",Georg-August-Universität Göttingen
"Institute for the Dynamics of Complex Systems, University of Göttingen, Friedrich-Hund-Platz 1, 37077, Göttingen, Germany. viola.priesemann@ds.mpg.de",Georg-August-Universität Göttingen
"Institute of Agricultural Law, Georg-August-University Göttingen, Germany",Georg-August-Universität Göttingen
"Institute of Algebraic Geometry, Leibniz University Hannover, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute of Algebraic Geometry, Leibniz University Hannover, Welfengarten 1, 30167 Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute of Algebraic Geometry, Leibniz University Hannover, Welfengarten 1, 30167, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute of Algebraic Geometry, Leibniz Universität Hannover, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute of Anaesthesiology and Intensive Care Medicine, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Institute of Applied Mathematics, Leibniz University Hannover, 30167, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute of Applied Mechanics, Technical University of Brauschweig, Pockelsstraße 3, 38106 Brauschweig, Germany",Technische Universität Braunschweig
"Institute of Applied Mechanics, Technische Universität Braunschweig, Germany",Technische Universität Braunschweig
"Institute of Applied Physics, Technische Universität Braunschweig, Mendelssohnstr. 2, D-38106 Braunschweig, Germany",Technische Universität Braunschweig
"Institute of Biochemistry and Molecular Biology, Laboratory for Structural Biology of Infection and Inflammation, University Hamburg, c/o DESY, Build. 22A, Notkestraße 85, 22603, Hamburg, Germany. christian.betzel@uni-hamburg.de",Medizinische Hochschule Hannover (MHH)
"Institute of Biochemistry and Molecular Biology, Laboratory for Structural Biology of Infection and Inflammation, University of Hamburg, c/o DESY, Build. 22a, Notkestraße 85, 22607, Hamburg, Germany. christian.betzel@uni-hamburg.de",Medizinische Hochschule Hannover (MHH)
"Institute of Biochemistry and Molecular Biology, Laboratory for Structural Biology of Infection and Inflammation, University of Hamburg, c/o DESY, Build. 22a. Notkestr. 85, 22603, Hamburg, Germany. Christian.Betzel@uni-hamburg.de",Medizinische Hochschule Hannover (MHH)
"Institute of Biochemistry and Molecular Biology, Laboratory for Structural Biology of Infection and Inflammation, University of Hamburg, c/o DESY, Notkestrasse 85, Build. 22A, 22607, Hamburg, Germany. Christian.Betzel@uni-hamburg.de",Medizinische Hochschule Hannover (MHH)
"Institute of Biochemistry and Molecular Biology, Laboratory for Structural Biology of Infection and Inflammation, University of Hamburg, c/o DESY, Notkestrasse 85, Building 22A, 22607, Hamburg, Germany. Christian.Betzel@uni-hamburg.de",Medizinische Hochschule Hannover (MHH)
"Institute of Biology and Environmental Sciences, Landscape Ecology Group, University of Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Institute of Botany, Leibniz University Hannover, Herrenhäuser Str. 2, 30419, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute of Cartography and Geoinformatics, Leibniz University Hannover, Hannover 30167, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute of Chemistry and Biochemistry, Germany and Institute of Physical Chemistry and Electrochemistry, Freie Universität Berlin, 30167 Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
Institute of Chemistry and Biology of the Marine Environment University of Oldenburg  Wilhelmshaven Germany,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth
Institute of Chemistry of New Materials and CellNanOs University of Osnabrück  Osnabrück 49069 Germany,Universität Osnabrück
"Institute of Chemistry, Carl von Ossietzky University of Oldenburg, D-26129 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Institute of Chemistry, Chemical Technology 1, Carl von Ossietzky University Oldenburg, Carl-von-Ossietzky-Str. 9-11, Oldenburg 26129, Germany",Carl von Ossietzky Universität Oldenburg
"Institute of Computer Science, Osnabrück University, 1 Friedrich-Janssen-Street 49076, Osnabrück, Germany",Hochschule Osnabrück
"Institute of Computer Science, University of Goettingen, 37077 Goettingen, Germany",Georg-August-Universität Göttingen
"Institute of Computer Science, University of Goettingen, Göttingen, Germany",Georg-August-Universität Göttingen
"Institute of Computer Science, University of Göttingen, Göttingen, Germany",Georg-August-Universität Göttingen
"Institute of Dynamics and Vibration Research, Leibniz University Hannover, An der Universität 1, Garbsen 30823, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute of Education, Leibniz University Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute of Electric Power Systems, Electric Energy Storage Systems Section, Leibniz University Hannover, Appelstr. 9a, 30167 Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute of Electric Power Systems, Leibniz University Hannover, Appelstraße 9a, Hannover 30167, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute of Electronic Materials and Devices, Leibniz University Hannover, Schneiderberg 32, 30167 Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute of Environmental Systems Research, Osnabrück University, Barbarastraße 12, D-49076 Osnabrück, Germany. Electronic address: joerg.klasmeier@uos.de",Hochschule Osnabrück
"Institute of Experimental Hematology, Medical University Hannover, Hannover 30625, Germany",Medizinische Hochschule Hannover (MHH)
"Institute of Food Science and Human Nutrition, Foundation Leibniz University Hannover, Am Kleinen Felde 30, 30167 Hannover, Germany; Department of Agronomy, Food, Natural Resources, Animals, and Environment (DAFNAE), University of Padova, 35020 Legnaro, PD, Italy",Stiftung Tierärztliche Hochschule Hannover
"Institute of Forensic Medicine, Hanover Medical School, Oldenburg Division, Pappelallee 4, 26122, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Institute of Functional and Applied Anatomy, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Institute of General Radiology and Medical Physics, University of Veterinary Medicine Hannover, Germany",Medizinische Hochschule Hannover (MHH)
Institute of Horticultural Production Systems Leibniz University Hannover  Hannover Germany,Gottfried Wilhelm Leibniz Universität Hannover
Institute of Horticultural Production Systems Leibniz University Hannover Hannover Germany,Gottfried Wilhelm Leibniz Universität Hannover
"Institute of Horticultural Production Systems, Gottfried Wilhelm Leibniz University Hannover, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute of Horticultural Production Systems, Plant Virology, Department of Phytomedicine, Leibniz University, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute of Horticultural Production Systems, Vegetable Systems Modelling Section, Leibniz University Hannover, Herrenhäuser Straße 2, 30419 Hannover, GERMANY",Gottfried Wilhelm Leibniz Universität Hannover
"Institute of Human Genetics, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Institute of Informatics, Clausthal University of Technology, Germany",Technische Universität Clausthal
"Institute of Inorganic Chemistry, Leibniz University Hannover, Hannover, Germany;",Gottfried Wilhelm Leibniz Universität Hannover
"Institute of Joining and Welding, TU Braunschewig 3 , Langer Kamp 8, Braunschweig 38106,",Technische Universität Braunschweig
"Institute of Joining and Welding, TU Braunschewig 3 , Langer Kamp 8, Braunschweig 38106, Germany",Technische Universität Braunschweig
"Institute of Machine Tools and Production Technology, Technische Universität Braunschweig, Braunschweig, Germany",Technische Universität Braunschweig
Institute of Materials Physics University of Göttingen  Göttingen 37077 Germany,Georg-August-Universität Göttingen
"Institute of Materials Physics, University of Göttingen, Friedrich-Hund-Platz 1, 37077, Göttingen, Germany",Georg-August-Universität Göttingen
"Institute of Materials Science and Engineering, Technical University Clausthal, Germany",Technische Universität Clausthal
"Institute of Mathematics and its Didactics, Leuphana Universität Lüneburg 1 , D-21335 Lüneburg, Germany",Leuphana Universität Lüneburg
"Institute of Mathematics, Carl von Ossietzky Universität Oldenburg, D-26111 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Institute of Mathematics, Research Unit Data Science, Osnabrück University, Albrechtstr. 28A, 49076, Osnabrück, Germany",Universität Osnabrück
"Institute of Mathematics, TU Clausthal, Germany",Technische Universität Clausthal
"Institute of Measurement and Automatic Control, Leibniz Universität Hannover",Gottfried Wilhelm Leibniz Universität Hannover
"Institute of Medical Psychology and Medical Sociology, Universita ¨tsmedizin Go ¨ttingen, Go ¨ttingen, Germany",Universitätsmedizin Göttingen
"Institute of Meteorology and Climatology, Leibniz University Hannover, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
Institute of Microbiology and Genetics Georg‐August‐University Göttingen Göttingen Germany,Georg-August-Universität Göttingen
"Institute of Microbiology and Genetics, Georg-August University Göttingen, Göttingen, Germany",Georg-August-Universität Göttingen
"Institute of Microtechnology (IMT), Technische Universität Brauschweig, Alte Salzdahlumer Str. 203, 38124, Brauschweig, Germany",Technische Universität Braunschweig
"Institute of Mineralogy, Leibniz University Hannover",Gottfried Wilhelm Leibniz Universität Hannover
"Institute of Molecular Oncology, University Medical Center Gottingen, Göttingen, Germany",Universitätsmedizin Göttingen
"Institute of Music Physiology and Musicians' Medicine of the University of Music, Drama and Media, Hannover, DE","Hochschule für Musik, Theater und Medien Hannover"
"Institute of Organic Chemistry, Clausthal University of Technology, Clausthal-Zellerfeld, Germany",Technische Universität Clausthal
"Institute of Organic Chemistry, Technische Universität Braun­schweig",Technische Universität Braunschweig
"Institute of Organic and Biomolecular Chemistry, University of Göttingen, 37077 Göttingen, Germany",Georg-August-Universität Göttingen
Institute of Pathology  Oldenburg Germany,Carl von Ossietzky Universität Oldenburg
Institute of Pathology Clinical Center Osnabrueck  Osnabrueck Germany,Universität Osnabrück
"Institute of Pathology Hildesheim, 31135 Hildesheim, Germany",Stiftung Universität Hildesheim
"Institute of Pathology Hildesheim, Hildesheim, Germany",Stiftung Universität Hildesheim
"Institute of Pathology and Neuropathology, Medical University Hannover, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Institute of Pathology, Aachen Medical University, RWTH Aachen, 52074 Aachen, Germany; German Center for Lung Research (DZL), Biomedical Research in Endstage and Obstructive Lung Disease Hannover (BREATH), 30625 Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Institute of Pathology, Clinical Center Osnabrueck , Osnabrueck , GERMANY",Universität Osnabrück
"Institute of Pathology, Clinical Center Osnabrueck Osnabrueck Germany",Universität Osnabrück
"Institute of Pathology, Clinical Center Osnabrueck, 49074 Osnabrueck, Germany",Universität Osnabrück
"Institute of Pathology, Clinical Center Osnabrueck, 49076 Osnabrueck, Germany",Universität Osnabrück
"Institute of Pathology, Clinical Center Osnabrueck, 49078 Osnabrueck, Germany",Universität Osnabrück
"Institute of Pathology, Clinical Center Osnabrueck, Am Finkenhuegel 1, Osnabrueck, 49076, Germany",Universität Osnabrück
"Institute of Pathology, Clinical Center Osnabrueck, D-49076 Osnabrueck, Germany",Universität Osnabrück
"Institute of Pathology, Clinical Center Osnabrueck, Osnabrueck, Germany",Universität Osnabrück
"Institute of Pathology, Clinical Center Osnabrueck, Osnabrueck, Germany, Osnabrueck, Germany",Universität Osnabrück
"Institute of Pathology, Clinical Center Osnabrueck, Osnabrück, Germany",Universität Osnabrück
"Institute of Pathology, Clinical Center Osnabrück, 49076 Osnabrück, Germany",Universität Osnabrück
"Institute of Pathology, Clinical Centre Osnabrück, D‑49076 Osnabrück, Germany",Universität Osnabrück
"Institute of Pathology, Clinical Centre Osnabrück, Osnabrück, Germany",Universität Osnabrück
"Institute of Pathology, Hannover Medical School, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Institute of Pathology, Hildesheim, Germany",Stiftung Universität Hildesheim
"Institute of Pathology, Institute of Pathology Hildesheim, Hildesheim, Hildesheim, Germany",Stiftung Universität Hildesheim
"Institute of Pathology, Medical University Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Institute of Pathology, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Institute of Pathology, University Medical Center Göttingen, Göttingen, Germany",Universitätsmedizin Göttingen
"Institute of Pathology, University Medical Center, Göttingen, Germany",Universitätsmedizin Göttingen
Institute of Pharmaceutical TechnologyTechnische Universität Braunschweig Braunschweig Germany,Technische Universität Braunschweig
"Institute of Pharmacology, Research Core Unit Metabolomics, Hannover Medical School",Medizinische Hochschule Hannover (MHH)
"Institute of Pharmacology, Toxicology and Clinical Pharmacy, Technische Universität Braunschweig, Mendelssohnstr. 1, 38106, Braunschweig, Germany. Jochen.Zuenkler@bfarm.de",Technische Universität Braunschweig
"Institute of Photogrammetry and GeoInformation, Leibniz University Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute of Physical Chemistry , University of Göttingen , Tammannstrasse 6 , 37077 Göttingen , Germany",Georg-August-Universität Göttingen
Institute of Physical Chemistry University of Göttingen  Göttingen 37077 Germany,Georg-August-Universität Göttingen
Institute of Physical Chemistry and Electrochemistry Leibniz University of Hannover  Callinstrasse 3A 30167 Hannover Germany,Gottfried Wilhelm Leibniz Universität Hannover
"Institute of Physical Chemistry and Electrochemistry, Leibniz Universität Hannover, 30167, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
Institute of Physics Carl von Ossietzky University of Oldenburg  26111 Oldenburg Germany,Carl von Ossietzky Universität Oldenburg
"Institute of Physics and ForWind, Carl von Ossietzky University of Oldenburg, Carl-von-Ossietzky-Straße 9–11, 26111 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Institute of Physics and ForWind, Carl von Ossietzky University of Oldenburg, Carl-von-Ossietzky-Straße 9-11, 26111, Oldenburg, Germany. tabar@uni-oldenburg.de",Carl von Ossietzky Universität Oldenburg
"Institute of Physics, Carl von Ossietzky University of Oldenburg, 26111, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Institute of Physics, Carl von Ossietzky University, Oldenburg, Germany. carlos.anton-solanas@uni-oldenburg.de",Carl von Ossietzky Universität Oldenburg
"Institute of Physics, Carl von Ossietzky University, Oldenburg, Germany. christian.schneider@uni-oldenburg.de",Carl von Ossietzky Universität Oldenburg
"Institute of Physics, Carl von Ossietzky Universität Oldenburg, Oldenburg 26129, Germany",Carl von Ossietzky Universität Oldenburg
"Institute of Physics, University of Oldenburg 4 , 26129 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Institute of Physics, University of Oldenburg, D-26111 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Institute of Physics, University of Oldenburg, D-26129 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Institute of Physics, University of Oldenburg, Oldenburg, D-26129 Germany",Carl von Ossietzky Universität Oldenburg
"Institute of Physics, University of Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Institute of Physics, University of Oldenburg, Oldenburg, Germany. christian.schneider@uol.de",Carl von Ossietzky Universität Oldenburg
"Institute of Physics, University of Oldenburg, Oldenburg, Germany. lukas.lackner@uol.de",Carl von Ossietzky Universität Oldenburg
"Institute of Product and Process Innovation, Leuphana University of Lüneburg, 21335, Lüneburg, Germany",Leuphana Universität Lüneburg
"Institute of Production Engineering and Machine Tools (IFW), Leibniz University Hannover, An der Universität 2, 30823 Garbsen, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute of Psychology, Experimental Psychology II and Biological Psychology, University of Osnabrück, D-49074 Osnabrück, Germany",Universität Osnabrück
"Institute of Psychology, Experimental Psychology II and Biological Psychology, University of Osnabrück, D-49074 Osnabrück, Germany eplog@uni-osnabrueck.de mantov@uni-osnabrueck.de",Universität Osnabrück
"Institute of Psychology, Osnabrück University, Osnabrück, Germany. joanna.kisker@uni-osnabrueck.de",Hochschule Osnabrück
"Institute of Psychology, Osnabrück University, Seminarstraße 20, 49074, Osnabrück, Germany. lukasz.stasielowicz@uos.de",Hochschule Osnabrück
"Institute of Psychology, Technische Universität Braunschweig, Braunschweig, Germany",Technische Universität Braunschweig
Institute of Quantum Optics Leibniz Universität Hannover (LUH) Welfengarten 1 Hannover 30167 Germany,Gottfried Wilhelm Leibniz Universität Hannover
"Institute of Quantum Optics and QUEST-Leibniz Research School, Leibniz University Hannover, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Institute of Quantum Optics and QUEST-Leibniz Research School, Leibniz University Hannover, Hannover, Germany. rasel@iqo.uni-hannover.de",Gottfried Wilhelm Leibniz Universität Hannover
